company_id,job_title,date,name_company,link_company
2209,data analyst cdi h/f,2023-09-09,Groupama,http://www.groupama.com/
223,Data Analyst,2023-02-28,Groupe SII,https://www.siigroup.com/
29347,Data analyste informatique SQL,2023-10-14,1G-LINK CONSULTING,http://1glink.com/
35182,Stage - Data Analyst Achats Ports & Terminaux (H/F),2023-02-28,CMA CGM,http://www.cma-cgm.com/
30870,Data Analyst H/F,2023-02-13,MICHAEL PAGE,http://www.page.com/
9708,Data analyst H/F,2023-02-28,La Banque Postale,http://www.labanquepostale.com/
62394,controleur de gestion sociale/data analyst,2023-10-17,TalentDetection,http://www.talentdetection.com/
128553,ALTERNANCE Data Analyst Exploitation BTP H/F,2023-04-09,NGE,http://www.nge.fr/
95755,Stage - Ynoveo - Data Analyst H/F,2023-10-03,Ynoveo,https://www.ynoveo.fr/
16947,Business/data analyst,2023-10-03,Business & Decision,http://www.hub-sales.com/
130367,CDI - Tech Lead Analytics GCP (F/H),2023-10-03,LVMH Group,http://www.lvmh.com/
47510,Data Analyst H/F,2023-10-03,Crédit Agricole Group,http://www.credit-agricole.com/
42400,Ingénieur data analyst F/H,2023-04-09,VINCI,http://www.vinci.com/
130499,Tourism Policy and Data Analyst(s),2023-02-28,OECD   OCDE,https://www.oecd.org/
53429,process data analyst,2023-08-15,JOBLIFT GMBH,http://joblift.de/
162,Web Data Analyst,2023-02-28,Harnham,http://harnham.com/
2948,DATA Analyst H/F,2023-05-06,Inetum,http://www.vimeo.com/
2161,Ingénieur Commercial Data H/F,2023-09-09,Atos,http://www.atosconsulting.com/
141277,Stage - Data Analyst à Paris la Défense - F/H,2023-10-20,RTE Réseau de Transport d'Electricité,http://www.rte-france.com/
56566,Data Analyst,2023-02-05,PayFit,http://payfit.com/
143629,Stage : Stage - Ingénieur Data Analyst (H/F),2023-02-13,VEOLIA ENVIRONNEMENT,http://www.veolia.com/
1861,Data Analyst Acquisition Clients,2023-09-23,SGS Société Générale de Surveillance SA,http://www.sgs.com/
